book_id,title,category,user,borrowed_at,returned_at
B1034,演算法圖鑑,程式設計,畢柏翔,2025-09-08,2025-09-24
B1050,走過愛琴海,旅遊,周淑慧,2025-09-10,2025-09-20
B1028,蘇菲的世界,哲學,盧美玲,2025-09-11,
B1050,走過愛琴海,旅遊,許志明,2025-09-11,2025-09-18
B1003,活著,小說,許志明,2025-09-11,
B1026,絲綢之路,歷史,高雅芳,2025-09-12,2025-09-19
B1006,克拉拉與太陽,小說,嚴俊宇,2025-09-12,2025-09-22
B1005,刺殺騎士團長,小說,馬奕辰,2025-09-13,2025-09-20
B1023,人類大歷史,歷史,張家瑋,2025-09-14,2025-09-26
B1013,正午時分,散文,馬奕辰,2025-09-14,2025-09-26
B1020,宇宙的故事,科普,葛子安,2025-09-15,2025-09-29
B1021,基因：人類最親密的歷史,科普,藍俊偉,2025-09-15,2025-09-29
B1038,原子習慣,商業,畢柏翔,2025-09-15,2025-09-27
B1020,宇宙的故事,科普,傅嘉玲,2025-09-16,
B1037,從0到1,商業,盧美玲,2025-09-17,2025-09-20
B1027,翻轉地中海,歷史,高雅芳,2025-09-17,2025-09-27
B1025,海洋與文明,歷史,李雅婷,2025-09-21,2025-10-01
B1049,西藏自助行,旅遊,盧美玲,2025-09-22,
B1009,蛤蟆先生去看心理師,小說,張家瑋,2025-09-22,2025-09-25
B1010,山茶花文具店,散文,林志豪,2025-09-24,2025-10-06
B1042,被討厭的勇氣,心理,林志豪,2025-09-27,2025-10-09
B1048,義大利這玩藝,旅遊,謝佩珊,2025-09-28,
B1032,Clean Code,程式設計,賴麗華,2025-09-28,2025-10-10
B1034,演算法圖鑑,程式設計,馬奕辰,2025-09-28,
B1039,高效能人士的七個習慣,商業,畢柏翔,2025-09-30,2025-10-12
B1039,高效能人士的七個習慣,商業,謝佩珊,2025-10-02,2025-10-16
B1013,正午時分,散文,高雅芳,2025-10-03,2025-10-15
B1043,心流,心理,許志明,2025-10-03,2025-10-13
B1013,正午時分,散文,范文軒,2025-10-05,2025-10-15
B1041,槓桿啟動,商業,畢柏翔,2025-10-05,2025-10-12
B1021,基因：人類最親密的歷史,科普,簡睿哲,2025-10-08,2025-10-22
B1047,京都漫步,旅遊,許志明,2025-10-08,2025-10-18
B1026,絲綢之路,歷史,潘建志,2025-10-09,2025-10-25
B1037,從0到1,商業,盧美玲,2025-10-10,2025-10-24
B1029,活出意義來,哲學,湯雅惠,2025-10-12,
B1018,人類大命運,科普,倪心妤,2025-10-12,2025-10-26
B1031,你的善良必須有點鋒芒,哲學,潘建志,2025-10-14,
B1033,深入淺出設計模式,程式設計,葛子安,2025-10-14,2025-11-11
B1049,西藏自助行,旅遊,陳怡君,2025-10-14,2025-10-26
B1007,正常人,小說,傅嘉玲,2025-10-15,2025-10-29
B1037,從0到1,商業,盧美玲,2025-10-15,2025-10-27
B1042,被討厭的勇氣,心理,高雅芳,2025-10-15,2025-10-27
B1034,演算法圖鑑,程式設計,畢柏翔,2025-10-15,2025-11-04
B1021,基因：人類最親密的歷史,科普,顧家慶,2025-10-19,2025-10-26
B1036,程式設計師的自我修養,程式設計,畢柏翔,2025-10-19,2025-10-29
B1023,人類大歷史,歷史,曾雅雯,2025-10-19,2025-10-22
B1031,你的善良必須有點鋒芒,哲學,夏宛庭,2025-10-20,2025-10-27
B1033,深入淺出設計模式,程式設計,高雅芳,2025-10-20,2025-10-27
B1033,深入淺出設計模式,程式設計,葛子安,2025-10-20,2025-11-03
B1038,原子習慣,商業,簡睿哲,2025-10-20,2025-11-01
B1033,深入淺出設計模式,程式設計,張家瑋,2025-10-21,2025-10-24
B1029,活出意義來,哲學,夏宛庭,2025-10-22,2025-10-29
B1050,走過愛琴海,旅遊,畢柏翔,2025-10-22,2025-11-03
B1048,義大利這玩藝,旅遊,倪心妤,2025-10-24,2025-11-07
B1021,基因：人類最親密的歷史,科普,盧美玲,2025-10-24,
B1011,我輩中人,散文,張家瑋,2025-10-25,
B1009,蛤蟆先生去看心理師,小說,嚴俊宇,2025-10-26,2025-11-07
B1033,深入淺出設計模式,程式設計,葛子安,2025-10-27,2025-11-03
B1024,槍炮、病菌與鋼鐵,歷史,顧家慶,2025-10-27,
B1016,夜的命名術,詩集,葛子安,2025-10-30,2025-11-15
B1007,正常人,小說,傅嘉玲,2025-10-30,2025-11-15
B1005,刺殺騎士團長,小說,嚴俊宇,2025-10-31,
B1027,翻轉地中海,歷史,簡睿哲,2025-10-31,2025-11-10
B1017,願你和這世界溫柔相擁,詩集,彭嘉怡,2025-11-01,2025-11-11
B1017,願你和這世界溫柔相擁,詩集,許志明,2025-11-01,2025-12-11
B1041,槓桿啟動,商業,畢柏翔,2025-11-01,2025-11-04
B1027,翻轉地中海,歷史,蘇佳玲,2025-11-02,
B1002,解憂雜貨店,小說,謝佩珊,2025-11-03,2025-11-17
B1025,海洋與文明,歷史,嚴俊宇,2025-11-03,2025-11-17
B1038,原子習慣,商業,嚴俊宇,2025-11-04,2025-11-16
B1007,正常人,小說,謝佩珊,2025-11-05,2025-11-21
B1029,活出意義來,哲學,周淑慧,2025-11-05,2025-11-19
B1034,演算法圖鑑,程式設計,宋宇翔,2025-11-06,2025-11-16
B1012,雜貨店老闆的人生諮詢,散文,馬奕辰,2025-11-06,2025-11-20
B1028,蘇菲的世界,哲學,湯雅惠,2025-11-07,2025-11-27
B1021,基因：人類最親密的歷史,科普,范文軒,2025-11-08,2025-11-18
B1013,正午時分,散文,鄭文傑,2025-11-08,2025-11-11
B1049,西藏自助行,旅遊,湯雅惠,2025-11-09,2025-11-21
B1047,京都漫步,旅遊,畢柏翔,2025-11-09,2025-11-19
B1030,正義：一場思辨之旅,哲學,潘建志,2025-11-10,2025-11-30
B1021,基因：人類最親密的歷史,科普,畢柏翔,2025-11-10,2025-11-17
B1035,重構,程式設計,卓士豪,2025-11-12,2025-11-26
B1029,活出意義來,哲學,夏宛庭,2025-11-12,2025-11-28
B1028,蘇菲的世界,哲學,湯雅惠,2025-11-13,2025-12-03
B1040,底層邏輯,商業,蔡欣怡,2025-11-14,
B1046,蛤蟆先生再次出發,心理,傅嘉玲,2025-11-15,2025-12-01
B1050,走過愛琴海,旅遊,周淑慧,2025-11-15,
B1027,翻轉地中海,歷史,高雅芳,2025-11-16,2025-12-02
B1034,演算法圖鑑,程式設計,許志明,2025-11-18,2025-12-08
B1031,你的善良必須有點鋒芒,哲學,湯雅惠,2025-11-18,
B1021,基因：人類最親密的歷史,科普,夏宛庭,2025-11-18,2025-12-02
B1025,海洋與文明,歷史,謝佩珊,2025-11-19,2025-11-29
B1029,活出意義來,哲學,潘建志,2025-11-19,
B1016,夜的命名術,詩集,潘建志,2025-11-20,2025-12-04
B1031,你的善良必須有點鋒芒,哲學,潘建志,2025-11-20,2025-12-02
B1013,正午時分,散文,嚴俊宇,2025-11-20,2025-11-30
B1015,你的姿勢與我的,詩集,賴麗華,2025-11-20,2025-11-30
B1016,夜的命名術,詩集,畢柏翔,2025-11-21,2025-12-03
B1039,高效能人士的七個習慣,商業,鄭文傑,2025-11-22,2025-12-12
B1027,翻轉地中海,歷史,張家瑋,2025-11-22,
B1049,西藏自助行,旅遊,周淑慧,2025-11-23,2025-11-30
B1037,從0到1,商業,盧美玲,2025-11-24,2025-11-27
B1029,活出意義來,哲學,許志明,2025-11-24,
B1026,絲綢之路,歷史,葛子安,2025-11-24,2025-12-08
B1032,Clean Code,程式設計,馬奕辰,2025-11-24,2025-12-14
B1038,原子習慣,商業,許志明,2025-11-25,2025-12-07
B1011,我輩中人,散文,許志明,2025-11-25,2025-12-05
B1047,京都漫步,旅遊,張家瑋,2025-11-25,2025-12-09
B1048,義大利這玩藝,旅遊,周淑慧,2025-11-25,2025-12-02
B1014,我的職業是電影,散文,張家瑋,2025-11-26,2025-11-29
B1014,我的職業是電影,散文,高雅芳,2025-11-27,2025-12-04
B1033,深入淺出設計模式,程式設計,馬奕辰,2025-11-28,
B1022,薛丁格的小狗,科普,范文軒,2025-11-28,2025-12-01
B1017,願你和這世界溫柔相擁,詩集,嚴俊宇,2025-11-28,2025-12-12
B1029,活出意義來,哲學,蘇佳玲,2025-11-28,
B1042,被討厭的勇氣,心理,畢柏翔,2025-11-29,
B1023,人類大歷史,歷史,許志明,2025-11-29,2025-12-09
B1048,義大利這玩藝,旅遊,倪心妤,2025-11-30,
B1031,你的善良必須有點鋒芒,哲學,倪心妤,2025-11-30,2025-12-12
B1022,薛丁格的小狗,科普,范文軒,2025-11-30,2025-12-12
B1030,正義：一場思辨之旅,哲學,湯雅惠,2025-12-01,2025-12-04
B1027,翻轉地中海,歷史,張家瑋,2025-12-02,2025-12-12
B1017,願你和這世界溫柔相擁,詩集,許志明,2025-12-02,2025-12-14
B1032,Clean Code,程式設計,宋宇翔,2025-12-03,2025-12-15
B1034,演算法圖鑑,程式設計,馬奕辰,2025-12-04,2025-12-11
B1037,從0到1,商業,盧美玲,2025-12-06,
B1020,宇宙的故事,科普,倪心妤,2025-12-07,2025-12-10
B1024,槍炮、病菌與鋼鐵,歷史,黃淑芬,2025-12-07,2025-12-27
B1048,義大利這玩藝,旅遊,周淑慧,2025-12-08,2025-12-11
B1039,高效能人士的七個習慣,商業,盧美玲,2025-12-08,2025-12-18
B1034,演算法圖鑑,程式設計,葛子安,2025-12-09,2025-12-21
B1039,高效能人士的七個習慣,商業,鄭文傑,2025-12-09,
B1041,槓桿啟動,商業,顧家慶,2025-12-10,2025-12-24
B1024,槍炮、病菌與鋼鐵,歷史,卓士豪,2025-12-12,2025-12-15
B1041,槓桿啟動,商業,盧美玲,2025-12-12,2025-12-24
B1044,情緒勒索,心理,盧美玲,2025-12-13,
B1039,高效能人士的七個習慣,商業,盧美玲,2025-12-13,
B1036,程式設計師的自我修養,程式設計,馬奕辰,2025-12-13,2025-12-25
B1048,義大利這玩藝,旅遊,周淑慧,2025-12-14,2026-01-11
B1003,活著,小說,傅嘉玲,2025-12-14,2025-12-21
B1018,人類大命運,科普,范文軒,2025-12-15,2025-12-25
B1008,我們最幸福,小說,盧美玲,2025-12-17,2026-01-02
B1040,底層邏輯,商業,盧美玲,2025-12-17,
B1035,重構,程式設計,嚴俊宇,2025-12-18,2025-12-21
B1000,百年孤寂,小說,馬奕辰,2025-12-19,2026-01-08
B1028,蘇菲的世界,哲學,湯雅惠,2025-12-22,2025-12-29
B1022,薛丁格的小狗,科普,倪心妤,2025-12-23,2026-01-06
B1030,正義：一場思辨之旅,哲學,湯雅惠,2025-12-23,
B1015,你的姿勢與我的,詩集,孟祥雲,2025-12-24,2026-01-09
B1031,你的善良必須有點鋒芒,哲學,潘建志,2025-12-25,2026-01-06
B1044,情緒勒索,心理,畢柏翔,2025-12-25,
B1006,克拉拉與太陽,小說,馬奕辰,2025-12-26,2026-01-07
B1012,雜貨店老闆的人生諮詢,散文,謝佩珊,2025-12-28,2026-01-09
B1047,京都漫步,旅遊,倪心妤,2025-12-28,2026-01-04
B1003,活著,小說,謝佩珊,2025-12-29,2026-01-05
B1024,槍炮、病菌與鋼鐵,歷史,許志明,2025-12-29,2026-01-08
B1047,京都漫步,旅遊,倪心妤,2025-12-30,2026-01-11
B1030,正義：一場思辨之旅,哲學,宋宇翔,2025-12-31,2026-01-14
B1025,海洋與文明,歷史,倪心妤,2026-01-03,2026-01-19
B1048,義大利這玩藝,旅遊,周淑慧,2026-01-03,2026-01-17
B1010,山茶花文具店,散文,卓士豪,2026-01-03,
B1024,槍炮、病菌與鋼鐵,歷史,蘇佳玲,2026-01-04,2026-01-11
B1041,槓桿啟動,商業,顧家慶,2026-01-05,2026-01-17
B1027,翻轉地中海,歷史,夏宛庭,2026-01-06,
B1010,山茶花文具店,散文,林志豪,2026-01-06,
B1000,百年孤寂,小說,夏宛庭,2026-01-06,2026-01-22
B1036,程式設計師的自我修養,程式設計,卓士豪,2026-01-07,2026-01-21
B1048,義大利這玩藝,旅遊,周淑慧,2026-01-07,2026-01-19
B1024,槍炮、病菌與鋼鐵,歷史,高雅芳,2026-01-07,2026-01-14
B1036,程式設計師的自我修養,程式設計,葛子安,2026-01-07,2026-01-10
B1024,槍炮、病菌與鋼鐵,歷史,高雅芳,2026-01-07,2026-01-17
B1037,從0到1,商業,盧美玲,2026-01-08,2026-01-20
B1006,克拉拉與太陽,小說,馬奕辰,2026-01-09,
B1039,高效能人士的七個習慣,商業,許志明,2026-01-11,2026-01-27
B1050,走過愛琴海,旅遊,許志明,2026-01-13,2026-02-02
B1049,西藏自助行,旅遊,許志明,2026-01-13,
B1000,百年孤寂,小說,傅嘉玲,2026-01-13,
B1047,京都漫步,旅遊,許志明,2026-01-14,2026-01-21
B1038,原子習慣,商業,許志明,2026-01-18,2026-01-30
B1025,海洋與文明,歷史,許志明,2026-01-18,2026-02-03
B1026,絲綢之路,歷史,張家瑋,2026-01-18,2026-01-28
B1013,正午時分,散文,高雅芳,2026-01-19,
B1039,高效能人士的七個習慣,商業,畢柏翔,2026-01-19,2026-01-31
B1018,人類大命運,科普,潘建志,2026-01-19,2026-01-26
B1044,情緒勒索,心理,湯雅惠,2026-01-19,
B1030,正義：一場思辨之旅,哲學,夏宛庭,2026-01-20,2026-01-27
B1027,翻轉地中海,歷史,許志明,2026-01-21,2026-02-06
B1032,Clean Code,程式設計,畢柏翔,2026-01-21,2026-01-31
B1004,房思琪的初戀樂園,小說,高雅芳,2026-01-23,2026-02-02
B1011,我輩中人,散文,張家瑋,2026-01-23,2026-01-30
B1025,海洋與文明,歷史,嚴俊宇,2026-01-23,2026-02-02
B1040,底層邏輯,商業,高雅芳,2026-01-25,2026-02-08
B1014,我的職業是電影,散文,嚴俊宇,2026-01-27,
B1050,走過愛琴海,旅遊,許志明,2026-01-28,2026-02-07
B1007,正常人,小說,嚴俊宇,2026-01-28,2026-02-09
B1043,心流,心理,賴麗華,2026-01-29,2026-02-12
B1030,正義：一場思辨之旅,哲學,傅嘉玲,2026-02-01,2026-03-01
B1006,克拉拉與太陽,小說,馬奕辰,2026-02-01,
B1037,從0到1,商業,盧美玲,2026-02-02,2026-02-14
B1047,京都漫步,旅遊,傅嘉玲,2026-02-02,
B1017,願你和這世界溫柔相擁,詩集,馬奕辰,2026-02-03,2026-02-06
B1023,人類大歷史,歷史,高雅芳,2026-02-03,2026-02-15
B1040,底層邏輯,商業,范文軒,2026-02-06,2026-02-26
B1005,刺殺騎士團長,小說,傅嘉玲,2026-02-07,2026-02-14
B1010,山茶花文具店,散文,白勝文,2026-02-07,2026-02-19
B1009,蛤蟆先生去看心理師,小說,馬奕辰,2026-02-08,2026-02-20
B1029,活出意義來,哲學,周淑慧,2026-02-08,
B1048,義大利這玩藝,旅遊,張家瑋,2026-02-08,2026-02-20
B1031,你的善良必須有點鋒芒,哲學,潘建志,2026-02-10,2026-02-20
B1030,正義：一場思辨之旅,哲學,潘建志,2026-02-10,2026-02-20
B1031,你的善良必須有點鋒芒,哲學,湯雅惠,2026-02-11,
B1035,重構,程式設計,童思妤,2026-02-11,
B1047,京都漫步,旅遊,嚴俊宇,2026-02-13,2026-02-20
B1040,底層邏輯,商業,顧家慶,2026-02-15,2026-02-25
B1001,82年生的金智英,小說,湯雅惠,2026-02-17,
B1035,重構,程式設計,馬奕辰,2026-02-17,2026-03-01
B1049,西藏自助行,旅遊,許志明,2026-02-19,2026-02-26
B1040,底層邏輯,商業,盧美玲,2026-02-19,2026-03-07
B1049,西藏自助行,旅遊,嚴俊宇,2026-02-19,2026-03-03
B1014,我的職業是電影,散文,張家瑋,2026-02-20,2026-03-20
B1023,人類大歷史,歷史,潘建志,2026-02-21,2026-02-24
B1006,克拉拉與太陽,小說,卓士豪,2026-02-21,
B1047,京都漫步,旅遊,周淑慧,2026-02-21,
B1020,宇宙的故事,科普,倪心妤,2026-02-21,2026-02-24
B1030,正義：一場思辨之旅,哲學,潘建志,2026-02-22,2026-03-06
B1037,從0到1,商業,顧家慶,2026-02-22,2026-02-25
B1008,我們最幸福,小說,許志明,2026-02-25,2026-03-17
B1049,西藏自助行,旅遊,倪心妤,2026-02-25,2026-03-13
B1020,宇宙的故事,科普,范文軒,2026-02-26,2026-03-05
B1025,海洋與文明,歷史,畢柏翔,2026-02-26,2026-03-10
B1041,槓桿啟動,商業,畢柏翔,2026-02-27,2026-03-06
B1010,山茶花文具店,散文,高雅芳,2026-03-01,2026-03-04
B1018,人類大命運,科普,周淑慧,2026-03-02,2026-03-22
B1022,薛丁格的小狗,科普,夏宛庭,2026-03-02,2026-03-16
B1037,從0到1,商業,許志明,2026-03-03,2026-03-13
B1028,蘇菲的世界,哲學,夏宛庭,2026-03-04,2026-03-16
B1046,蛤蟆先生再次出發,心理,賴麗華,2026-03-04,
B1049,西藏自助行,旅遊,夏宛庭,2026-03-04,2026-03-14
B1016,夜的命名術,詩集,倪心妤,2026-03-05,2026-03-19
B1007,正常人,小說,謝佩珊,2026-03-05,
B1025,海洋與文明,歷史,葛子安,2026-03-05,
B1048,義大利這玩藝,旅遊,倪心妤,2026-03-05,2026-03-08
B1043,心流,心理,卓士豪,2026-03-05,
B1010,山茶花文具店,散文,林志豪,2026-03-05,
B1000,百年孤寂,小說,傅嘉玲,2026-03-05,
B1049,西藏自助行,旅遊,周淑慧,2026-03-05,2026-03-12
B1012,雜貨店老闆的人生諮詢,散文,張家瑋,2026-03-10,2026-03-22
B1048,義大利這玩藝,旅遊,傅嘉玲,2026-03-10,2026-03-20
B1014,我的職業是電影,散文,嚴俊宇,2026-03-10,2026-03-13
B1014,我的職業是電影,散文,嚴俊宇,2026-03-10,
B1032,Clean Code,程式設計,馬奕辰,2026-03-11,2026-03-18
B1049,西藏自助行,旅遊,嚴俊宇,2026-03-12,2026-03-28
B1043,心流,心理,鄭文傑,2026-03-12,2026-03-22
B1031,你的善良必須有點鋒芒,哲學,湯雅惠,2026-03-12,2026-03-19
B1023,人類大歷史,歷史,黃淑芬,2026-03-15,2026-03-25
B1005,刺殺騎士團長,小說,嚴俊宇,2026-03-15,2026-03-27
B1029,活出意義來,哲學,湯雅惠,2026-03-16,
B1030,正義：一場思辨之旅,哲學,湯雅惠,2026-03-16,2026-03-26
B1000,百年孤寂,小說,黃淑芬,2026-03-17,2026-03-27
B1044,情緒勒索,心理,賴麗華,2026-03-17,2026-04-06
B1032,Clean Code,程式設計,彭嘉怡,2026-03-19,2026-03-31
B1014,我的職業是電影,散文,潘建志,2026-03-19,
B1028,蘇菲的世界,哲學,彭嘉怡,2026-03-22,2026-03-29
B1020,宇宙的故事,科普,卓士豪,2026-03-23,2026-04-04
B1039,高效能人士的七個習慣,商業,畢柏翔,2026-03-23,2026-04-04
B1044,情緒勒索,心理,簡睿哲,2026-03-24,2026-03-31
B1016,夜的命名術,詩集,畢柏翔,2026-03-24,2026-04-13
B1038,原子習慣,商業,許志明,2026-03-25,2026-04-04
B1028,蘇菲的世界,哲學,馬奕辰,2026-03-25,2026-03-28
B1030,正義：一場思辨之旅,哲學,彭嘉怡,2026-03-25,2026-04-08
B1028,蘇菲的世界,哲學,賴麗華,2026-03-26,2026-04-11
B1023,人類大歷史,歷史,顧家慶,2026-03-28,
B1004,房思琪的初戀樂園,小說,葛子安,2026-03-30,
B1050,走過愛琴海,旅遊,謝佩珊,2026-03-30,2026-04-09
B1030,正義：一場思辨之旅,哲學,嚴俊宇,2026-03-31,2026-04-10
B1025,海洋與文明,歷史,畢柏翔,2026-04-01,2026-04-15
B1005,刺殺騎士團長,小說,潘建志,2026-04-01,2026-04-13
B1007,正常人,小說,鄭文傑,2026-04-01,2026-04-08
B1011,我輩中人,散文,倪心妤,2026-04-01,2026-04-17
B1001,82年生的金智英,小說,夏宛庭,2026-04-01,2026-04-04
B1009,蛤蟆先生去看心理師,小說,湯雅惠,2026-04-01,2026-04-13
B1009,蛤蟆先生去看心理師,小說,倪心妤,2026-04-02,2026-04-22
B1000,百年孤寂,小說,傅嘉玲,2026-04-02,2026-04-14
B1006,克拉拉與太陽,小說,謝佩珊,2026-04-02,2026-04-12
B1004,房思琪的初戀樂園,小說,范文軒,2026-04-02,2026-04-05
B1044,情緒勒索,心理,盧美玲,2026-04-03,2026-04-15
B1002,解憂雜貨店,小說,湯雅惠,2026-04-03,2026-04-15
B1015,你的姿勢與我的,詩集,湯雅惠,2026-04-03,2026-04-23
B1020,宇宙的故事,科普,畢柏翔,2026-04-03,2026-04-13
B1041,槓桿啟動,商業,許志明,2026-04-03,2026-04-23
B1002,解憂雜貨店,小說,蘇佳玲,2026-04-04,
B1039,高效能人士的七個習慣,商業,許志明,2026-04-04,2026-04-18
B1008,我們最幸福,小說,卓士豪,2026-04-04,2026-04-16
B1012,雜貨店老闆的人生諮詢,散文,卓士豪,2026-04-04,2026-04-20
B1044,情緒勒索,心理,蘇佳玲,2026-04-04,2026-04-16
B1002,解憂雜貨店,小說,張家瑋,2026-04-04,2026-05-02
B1002,解憂雜貨店,小說,傅嘉玲,2026-04-05,2026-04-15
B1015,你的姿勢與我的,詩集,倪心妤,2026-04-05,
B1007,正常人,小說,彭嘉怡,2026-04-05,2026-04-21
B1005,刺殺騎士團長,小說,嚴俊宇,2026-04-05,2026-04-12
B1011,我輩中人,散文,潘建志,2026-04-05,2026-04-15
B1015,你的姿勢與我的,詩集,宋宇翔,2026-04-05,2026-05-03
B1013,正午時分,散文,傅嘉玲,2026-04-05,2026-04-25
B1000,百年孤寂,小說,畢柏翔,2026-04-06,2026-05-04
B1003,活著,小說,嚴俊宇,2026-04-06,
B1043,心流,心理,盧美玲,2026-04-07,2026-04-10
B1044,情緒勒索,心理,簡睿哲,2026-04-07,2026-04-21
B1043,心流,心理,周淑慧,2026-04-08,2026-04-15
B1016,夜的命名術,詩集,白勝文,2026-04-08,2026-04-20
B1033,深入淺出設計模式,程式設計,畢柏翔,2026-04-09,2026-04-16
B1003,活著,小說,邱建宏,2026-04-09,2026-04-23
B1001,82年生的金智英,小說,簡睿哲,2026-04-09,2026-04-19
B1009,蛤蟆先生去看心理師,小說,夏宛庭,2026-04-09,
B1015,你的姿勢與我的,詩集,盧美玲,2026-04-09,2026-04-16
B1001,82年生的金智英,小說,傅嘉玲,2026-04-09,
B1007,正常人,小說,許志明,2026-04-09,2026-04-21
B1027,翻轉地中海,歷史,謝佩珊,2026-04-10,
B1018,人類大命運,科普,賴麗華,2026-04-10,
B1007,正常人,小說,畢柏翔,2026-04-11,2026-04-27
B1043,心流,心理,賴麗華,2026-04-11,2026-04-14
B1011,我輩中人,散文,葛子安,2026-04-11,2026-04-21
B1012,雜貨店老闆的人生諮詢,散文,潘建志,2026-04-11,2026-04-27
B1028,蘇菲的世界,哲學,夏宛庭,2026-04-11,2026-04-21
B1002,解憂雜貨店,小說,葛子安,2026-04-11,2026-04-27
B1010,山茶花文具店,散文,倪心妤,2026-04-11,2026-04-21
B1004,房思琪的初戀樂園,小說,彭嘉怡,2026-04-11,2026-04-14
B1020,宇宙的故事,科普,畢柏翔,2026-04-11,2026-04-25
B1022,薛丁格的小狗,科普,鄭文傑,2026-04-11,2026-04-23
B1010,山茶花文具店,散文,簡睿哲,2026-04-11,2026-04-23
B1014,我的職業是電影,散文,湯雅惠,2026-04-11,2026-04-21
B1013,正午時分,散文,潘建志,2026-04-12,2026-04-22
B1044,情緒勒索,心理,簡睿哲,2026-04-12,2026-04-19
B1002,解憂雜貨店,小說,夏宛庭,2026-04-12,2026-04-28
B1006,克拉拉與太陽,小說,高雅芳,2026-04-12,2026-04-19
B1045,脆弱的力量,心理,傅嘉玲,2026-04-12,
B1040,底層邏輯,商業,湯雅惠,2026-04-12,2026-04-19
B1050,走過愛琴海,旅遊,賴麗華,2026-04-12,2026-04-22
B1000,百年孤寂,小說,葛子安,2026-04-12,
B1008,我們最幸福,小說,蔡欣怡,2026-04-13,2026-04-25
B1031,你的善良必須有點鋒芒,哲學,許志明,2026-04-13,2026-04-27
B1000,百年孤寂,小說,嚴俊宇,2026-04-13,2026-04-27
B1010,山茶花文具店,散文,湯雅惠,2026-04-13,2026-04-25
B1037,從0到1,商業,賴麗華,2026-04-13,
